id,address,layout,price,gps_lat,gps_lon,area,floor,total_floors,construction,condition,ownership,cellar_area,balcony_area,garden_area,elevator,parking,poi_doctors_count,poi_doctors_nearest,poi_leisure_time_count,poi_leisure_time_nearest,poi_school_kindergarten_count,poi_school_kindergarten_nearest,poi_transport_count,poi_transport_nearest,poi_grocery_count,poi_grocery_nearest,poi_restaurant_count,poi_restaurant_nearest,text,first_seen,last_seen
6980,"Tavolníková, Praha - Krč",2+kk,6450000.0,50.019823,14.461106,57.0,5,,Panelová,Velmi dobrý,Družstevní,3.0,,,Yes,,5,547.0,5,118.0,5,290.0,5,189.0,5,160.0,5,344.0,"Nabízím k prodeji byt 2+kk/45 m2 s chodbou před bytem 12 m2, v družstevním vlastnictví, situovaný v pátém patře jedenáctipatrového panelového domu. Tento byt se splacenou anuitou bude v brzké době možný převézt do osobního vlastnictví. Momentálně je pronajatý, což z něj činí také skvělou investiční příležitost s okamžitým výnosem. Na ukončení nájemní smlouvy s podnájemcem se můžeme společně domluvit.

Luxusně zrekonstruovaný a kompletně vybavený byt nábytkem má dispozici: předsíň, obývací pokoj s kuchyňským koutem, ložnice, koupelna se sprchovým koutem, samostatná toaleta a chodba s lodžií před bytem pod uzamčením. K bytu náleží sklepní kóje v suterénu.

Jedná se o velmi lukrativní lokalitu v docházkové vzdálenosti MHD, fakultní nemocnice Thomayerova a IKEM. Skvělá dopravní dostupnost do centra a na Metro. Více informací sdělím osobně.",2025-08-20,2025-08-23
1860,"Pitterova, Praha 3 - Žižkov",3+kk,14750000.0,50.085597,14.468936,93.0,2,12.0,Smíšená,Průměrný,Osobní,6.0,57.0,,Yes,1.0,5,748.0,5,567.0,5,211.0,5,70.0,5,324.0,5,225.0,"Nabízíme k prodeji světlý a prostorný byt 3+kk o celkové výměře 150 m2 (92,45 m2 byt + 57,22 m2 terasy) v atraktivní lokalitě rezidenčního projektu Central Park Praha. Tento dvoupatrový byt je součástí uzavřeného komplexu s vlastním soukromým parkem o rozloze 15 000 m2. Projekt Central Park Praha nabízí komfortní bydlení s 24hodinovou recepcí, parkovacími místy, ostrahou a příjemnou kavárnou.

Interiér bytu je velmi prostorný a skládá se z obývacího pokoje spojeného s kuchyní, 2 ložnic, 2 koupelen s toaletou a komory. Z ložnici, co se nachází v dolním patře, je přistup na obrovskou slunnou terasu o ploše 44 m2, z obývacího pokoje je přístup na další terasu plochou přes 10 m2, která nabízí příjemné posezení a výhled do soukromého parku. Celková plocha teras je přes 57 m2. Byt je orientován na jih a sever, což zajišťuje dostatek přirozeného světla po celý den díky mnoha francouzským oknům.

Uvnitř bytu najdete dřevěné podlahy ve všech místnostech, velkoformátovou dlažbu, obklady a podlahové vytápění v koupelnách, všechny ostatní místnosti jsou vytápěny konvektory s ovládáním na stěně v každé místnosti. Je tady i klimatizace v každé místnosti.

K bytu náleží také sklep a parkovací místo v podzemní garáži.

Rezidence Central Park Praha nabízí svým obyvatelům další výhody, jako je vlastní soukromý park s dětským hřištěm, sportovištěm a kavárnou. Komplex disponuje také ostrahou a kamerovým systémem, který zajišťuje bezpečí pro Vás a Vaši rodinu. V blízkém okolí se nachází nádherný městský park, sportovní areál, klinika a pošta. Díky tramvajové zastávce, která je v docházkové vzdálenosti (Václavské náměstí je vzdáleno cca 9 minut), a stanici metra máte vynikající dopravní dostupnost. Nákupní centrum s obchody, restauracemi a kinem je pouhé 2 minuty jízdy autem.

Pokud hledáte prostorný a světlý byt v moderním rezidenčním projektu s veškerými vybavenostmi a výhodami, Central Park Praha je ideální volbou.

Neváhejte a kontaktujte mě pro více informací nebo domluvu na prohlídce.",2025-06-27,2025-07-08
5225,"Perucká, Praha 2 - Vinohrady",1+kk,5490000.0,50.068807,14.437938,27.0,2,4.0,Cihlová,Průměrný,Osobní,,,,,,5,511.0,5,374.0,5,179.0,5,176.0,5,377.0,5,152.0,"Prodej bytu 1+kk o velikosti 27m², umístěného v 1. patře s výtahem v developerské projektu Depo Grébovka z roku 2021 na okraji Havlíčkových sadů. Po vstupu do bytu je předsíň se šatní skříní, na kterou navazuje pokoj vybavený velkou kuchyňskou linkou se sklokeramickou deskou, el. troubou a vestavěnou lednicí. Prostorná koupelna se sprchou, WC. Velmi dobře izolovaný byt s nízkou spotřebou energií v klidné lokalitě v srdci Vinohrad. Náklady na provoz 3450 Kč a fond oprav 257 Kč. V nákladech zahrnuto a v rámci komplexu možno využít společný střešní prostor pro grilování, k dispozici prádelna či posilovna, non-stop recepce. Byt, resp. nebytový prostor- ubytovací zařízení vhodé pro vlastní bydlení nebo na výnosnou investici. Ev. číslo: 651854.",2025-07-16,2025-08-12
4441,"Brožíkova, Praha - Košíře",1+1,6352000.0,50.071383,14.388532,38.0,2,,Cihlová,Průměrný,Osobní,,,,,,5,904.0,5,68.0,5,220.0,5,84.0,5,46.0,5,110.0,"Přímý vlastník nabízí k prodeji zrekonstruovaný byt 1+1 v cihlové budově v osobním vlastnictví nacházející se v ulici Brožíkova, Praha 5 - Košíře. Tento byt se nachází v 1. patře a nabízí celkovou užitnou plochu 38,5 m². Díky velmi dobrému stavu objektu i bytu je připraven k okamžitému nastěhování.

Byt je ideální pro jednotlivce nebo páry, kteří hledají útulné bydlení v jedné z nejžádanějších lokalit. Cihlová stavba zajišťuje přirozenou izolaci a atmosféru klasického domova. Lokalita v Praze skýtá bohaté možnosti kulturního i společenského vyžití, stejně jako kvalitní občanskou vybavenost v těsné blízkosti.

Byt je po celkové rekonstrukci. Kuchyň je vybavena novou kuchyňskou linkou se spotřebiči. Podlaha vinylová, okna plastová.

Pokud Vás byt zaujal, neváhejte si sjednat prohlídku. Prohlídky jsou možné po předchozí domluvě.

RK V ŽÁDNÉM PŘÍPADĚ NEVOLAT!",2025-07-01,2025-07-31
7143,"Hnězdenská, Praha 8 - Troja",2+kk,6190000.0,50.126809,14.423477,46.0,11,12.0,Smíšená,Velmi dobrý,Osobní,,,,Yes,1.0,5,345.0,5,545.0,5,258.0,5,178.0,5,121.0,5,153.0,"Připravujeme k prodeji byt 2 + kk po rekonstrukci v oblíbené lokalitě s dobrou občanskou vybaveností a dopravní dostupností.
Byt je prodáván včetně garážového stání.

Jednotka s podlahovou plochou 46,3 m2 se nachází v 11. nadzemním podlaží. Moderní bytový dům je vybaven několika výtahy (včetně nákladních) a má vlastní recepci.
Byt naplňuje všechny předpoklady pro pohodlné bydlení stejně jako požadavky pro zajímavou investiční nemovitost.

Pro prohlídku a další informace nás neváhejte kontaktovat.",2025-08-22,2025-09-01
9599,"Patočkova, Praha 6 - Břevnov",1+kk,5650000.0,50.089573,14.383732,31.0,3,8.0,Cihlová,Průměrný,Osobní,,,,Yes,,5,273.0,5,470.0,5,223.0,5,23.0,5,331.0,5,304.0,"Útulný byt 1+kk, 3. NP, o velikosti 31 m² v Patočkově ulici skvělá investice a nebo startovací bydlení. Začněte novou kapitolu v oblíbené části Prahy 6 -  Břevnově

Útulný a slunný byt 1+kk o velikosti 31 m² v Patočkově ulici čeká na svého nového majitele. Ať už hledáte první vlastní bydlení, nový začátek nebo chytře uložené peníze, tento byt vás překvapí svou praktičností, vzdušností a promyšleným využitím prostor.

Dispozice je navržená tak, aby na jednom místě vznikl příjemný domov – kuchyňský kout na vaření, relaxační zóna pro klidné večery i prostor pro pohodlné spaní. Nechybí ani místo pro skříň, která nenaruší volnost interiéru.

Byt se nachází u frekventované Patočkové ulice, nicméně díky orientaci domu kolmo na ulici a kvalitním plastovým oknům je interiér bytu překvapivě tichý – hluk z ulice je mnohem menší, než byste očekávali.
 
Technické informace:
•Zděná koupelna s oknem, vanou a toaletou
•Plynový kotel pro ohřev vody
•Topení: plynové WAW
•Kuchyňská linka v základní výbavě
•Nová podlaha značky Quick Step 

Byt je připraven k nastěhování nebo pronájmu. Zároveň nabízí potenciál pro úpravy podle vlastních představ. Společné prostory domu jsou před rekonstrukcí, což může do budoucna přinést zajímavý růst hodnoty.
 
Břevnov – místo, které si zamilujete
Jedna z nejžádanějších lokalit Prahy spojuje příjemnou atmosféru, klid a výbornou dostupnost.
- Tramvajová i autobusová zastávka jen pár minut chůze – do centra jste do 15 minut
- Rychlé napojení na tunel Blanka a Pražský okruh
- Park Ladronka – pro sport, procházky i výhledy
- Obora Hvězda – historický lesopark jako z pohádky
- Břevnovský klášter se zahradami, ideální pro víkendový relax
- Koupaliště Petynka – osvěžení kousek od domu
- Kavárny, pekárny a místní obchůdky podél Bělohorské ulice vytváří příjemné sousedské prostředí.

A navíc – na Pražský hrad je, co by kamenem dohodil.
 
Hledáte prostor, kde začít něco nového – a zároveň mít jistotu, že vaše investice dává smysl? 

Neváhejte a domluvte si prohlídku ještě dnes. Tenhle byt má víc, než se na první pohled zdá.",2025-10-01,2025-10-24
10184,"Okřínecká, Praha 9 - Prosek",3+1,7190000.0,50.117758,14.504828,79.0,5,5.0,Cihlová,Průměrný,Družstevní,2.0,7.0,,No,,5,358.0,5,408.0,5,89.0,5,135.0,5,299.0,5,185.0,"Nabízíme Vám k prodeji družstevní byt 3+1 s lodžií, o celkové výměře 78,7 m2, umístěný v posledním 4. patře cihlového domu bez výtahu, v klidné ulici Okřínecká na Praze 9, jen 5 min chůze od metra C – Prosek. 

Anuita necelých 30.000 Kč (340 Kč měsíčně do konce roku 2032).

Byt se skládá ze dvou neprůchozích pokojů/ložnic (v jednom pokoji je vestavěná šatní skřín), z obývacího pokoje, ze samostatné kuchyně s kuch. linkou (spotřebiče: el. trouba, sklo-keramická varná deska, myčka). Dále je zde vstupní chodba, samostatná toaleta a koupelna s klasickou vanou a přípojkou pro pračku. Jádro zděné. Na lodžii se vstupuje z obývacího pokoje. 

Plastová okna s orientací na východ, dům je kompletně zateplen (i střecha). V koupelně a na WC je dlažba, zbytek bytu PVC. Součástí prodeje je také zděný sklep o výměře 2 m2, umístěný v přízemí domu.

Provozní náklady bytu činí 5.116 Kč měsíčně (včetně fondu oprav 2.338 Kč) + vlastní spotřeba elektřiny.

Výborná občanská vybavenost. Za domem je oplocené hřiště s umělým povrchem a i dětské hřiště. 

Ukazatel energetické náročnosti budovy: G - probíhá vypracování PENB, údaj bude aktualizován. 

POZNÁMKA: Možnost přikoupit také samostatnou garáž, umístěnou přímo v domě. Vjezd do garáže hned vedle vchodu do domu.
",2025-10-09,2025-11-13
12078,"Pod stolovou horou, Praha 5 - Jinonice",4+kk,24100000.0,50.05591,14.35014,114.0,8,,Cihlová,Průměrný,Osobní,,114.0,,Yes,1.0,5,606.0,5,827.0,5,293.0,5,266.0,5,503.0,5,436.0,"Nabízíme k prodeji výjimečný prostorný byt 4+kk v osobním vlastnictví, který zaujme i ty nejnáročnější klienty. Nachází se v prestižní lokalitě Praha 5 - Jinonice v moderním cihlovém domě z roku 2018, zajišťující exkluzivní bydlení s panoramatickou terasou v klidné lokalitě.
	‌
Klíčové přednosti bytu a jedinečná dispozice:
•	Podlahová plocha: 114 m²
•	Terasa obklopující celý byt: 114 m² - ideální pro relaxaci, zahradničení nebo venkovní posezení
•	Umístění: poslední 7. patro - jediný byt na patře, maximální soukromí
•	Vchod na terasu ze všech pokojů
	‌
Dispozice:
•	Prostorná chodba
•	Ložnice se soukromou koupelnou se sprchovým koutem a WC
•	2 samostatné pokoje
•	Velkorysý obývací pokoj propojený s moderní kuchyní s vestavnými spotřebiči a indukční varnou deskou
•	Koupelna s vanou, dvoj-umyvadlem a přípojkou na pračku a sušičku
•	Samostatné WC s umyvadlem
•	Vnitřní komora pro úložné prostory
	‌
Technické parametry a vybavení:
•	Cihlový dům, kolaudace 2018
•	Výtah v domě
•	2 garážová stání v ceně
	‌
Vybavení bytu:
•	Okna: Plastová s předokenními roletami
•	Podlahy: Plovoucí podlahy v pokojích, dlažba v chodbě, WC, koupelnách a na terase
•	Vytápění: Radiátory s dálkovým topením
•	Elektřina: 3 fáze
•	Klimatizace pro maximální komfort
•	Internet: Optické připojení
	‌
Lokalita:
Praha 5 - Jinonice nabízí ideální kombinaci klidného bydlení s výbornou dostupností do centra hlavního města. V okolí najdete kompletní občanskou vybavenost, školy, školky, obchody, restaurace a kvalitní dopravní spojení.
	‌
Proč si vybrat právě tento byt?
•	Unikátní terasa 114 m² obklopující celý byt
•	Maximální soukromí - jediný byt na patře
•	Moderní stavba z roku 2018
•	Kompletní vybavení včetně klimatizace
•	2 garážová stání
•	Výborná lokalita s občanskou vybaveností
	‌
Tento byt představuje vzácnou příležitost pro ty, kteří hledají luxusní bydlení s mimořádným venkovním prostorem v klidné a zároveň dobře dostupné lokalitě Prahy.
	‌
Prohlídky budou probíhat od prosince 2025. Pro více informací a domluvení prohlídky neváhejte kontaktovat makléřku.
	‌
Jsme Realitka cz
	‌
",2025-11-12,2025-11-14
10140,"Za invalidovnou, Praha 8 - Karlín",1+kk,7109508.0,50.093627,14.463441,37.0,4,5.0,Cihlová,Nový,Osobní,,,,Yes,,5,573.0,5,424.0,5,0.0,5,415.0,5,1021.0,5,636.0," Novostavba 1+kk o ploše 37m2 + balkón 5,1m2 ve výstavbě u metra B Invalidovna.

Kolaudace 9/2026.

Obývací pokoj 24m2 s celostěnným prosklením + koupelna s vanou a oknem + prostorná předsín.

Standardní provedení již zahrnuje dřevěná eurookna s trojskly, dřevěné parketové podlahy, sanitu Hansgrohe + Laufen, italskou dlažby a obklady Marazzi. V bytě je optický kabel + na všech oknech předokenní žaluzie. Ovládáni mobilem: otevíraní garáže, hlavního vstupu do domu, přivoláni výtahu a ovládaní žaluzií. Další funkce chytré domácnosti možné dokoupit. 

K bytu se dokupuje sklepni kóje.

Hypoteční úvěr Vám zajistíme zdarma.

Lokalita disponuje kompletní občanskou vybaveností a perfektním dopravním spojením do / z centra. Stanice metra B invalidovna + tramvajové zastávky Invalidovna a Urxova jsou v pěší dostupnosti.

Karlín nabízí doslova na každém kroku pestré množství kvalitních restaurací s českou a světovou kuchyní, kaváren s lahodnou kávou, domácím pečivem, a samozřejmě i kulturní událostí v oblasti divadla, filmu, hudby nebo výtvarného umění. 
Rodiny s dětmi najdou klid v místní zeleni, sportovci uvítají cyklostezky, golfové hřiště, skatepark a další místní multifunkční areály. K procházkám a odpočinku nabízí Rohanský ostrov u Vltavy, Park Vítkov, Kaizlovy + Sudkovy sady.

V inzerci jsou vizualizace.",2025-10-09,2025-10-19
9542,"Toušeňská, Praha 4 - Lhotka",4+1,8497660.0,50.021711,14.445502,73.0,2,4.0,Panelová,Špatný,Osobní,3.0,7.0,,No,,5,306.0,5,52.0,5,179.0,5,98.0,5,384.0,5,323.0,"Nabízíme k prodeji světlý a prostorný byt 4+1 s lodžií o celkové ploše 83 m² v klidné a žádané lokalitě Praha – Lhotka, ulice Toušeňská. Byt se nachází v pečlivě udržovaném panelovém domě se zateplenou fasádou a novou střechou, s dobře fungujícím společenstvím vlastníků (SVJ). Nová plastová okna a zděné jádro zajišťují pohodlné a bezproblémové bydlení.
Byt nabízí praktické dispoziční uspořádání – čtyři světlé a prostorné pokoje, samostatnou kuchyň, koupelnu a WC, chodbu s vestavěnými skříněmi a zasklenou lodžii přístupnou z jednoho z pokojů. Součástí je i sklep v suterénu domu. Byt je v dobrém stavu a připraven k okamžitému nastěhování, případně nabízí možnost rekonstrukce a úprav podle vlastních představ.
Lokalita poskytuje klidné prostředí s výbornou občanskou vybaveností – školy, školky, obchody i restaurace jsou v docházkové vzdálenosti. Přímo za domem se nachází multifunkční dětské hřiště a venkovní stolní tenis. Velkou výhodou je také plánovaná výstavba stanice metra linky D (cca 500 m od domu), která výrazně zlepší dostupnost do centra města, přičemž nejbližší zastávka autobusu je od domu necelých 100 metrů. Bezproblémové parkování přímo u domu bez modrých zón.
Tento byt je perfektní kombinací prostorného, praktického a pohodlného bydlení s možností vlastních úprav, v klidné lokalitě s výbornou občanskou vybaveností a dopravní dostupností. Pokud hledáte nové bydlení nebo zajímavou investiční příležitost, tato nemovitost je pro Vás tou pravou volbou. S případným financováním vám rádi pomůžeme. Pro komunikaci uvádějte evidenční číslo zakázky N114260.",2025-09-30,2025-10-09
